Number,"Time (seconds)","Distance (meters)","Pace (seconds)",Watts,Cal/Hr,"Stroke Rate","Heart Rate"
1,2.1,6.6,176.3,64,519,,
2,3.0,10.1,149.2,105,662,27,
3,5.3,19.3,126.3,174,897,26,
4,7.9,29.8,122.6,190,953,23,
5,10.4,39.9,121.9,193,964,24,
6,12.8,50.1,121.9,193,964,24,
7,15.4,60.6,120.8,199,983,24,
8,18.0,71.4,120.8,199,983,24,
9,20.8,83.3,121.0,198,979,21,
10,23.6,94.6,120.2,202,993,22,
11,26.3,106.1,120.8,199,983,22,
12,29.1,117.3,123.0,188,947,22,
13,31.8,128.5,124.3,182,927,22,
14,34.5,139.6,121.3,196,974,22,
15,37.2,151.1,121.3,196,974,22,
16,40.0,162.8,117.8,214,1036,23,
17,42.7,174.1,118.8,209,1018,22,
18,45.2,184.9,118.9,208,1016,22,
19,48.1,196.7,119.8,204,1000,21,
20,50.6,207.8,116.8,220,1055,23,
21,53.2,218.7,116.8,220,1055,23,
22,56.0,230.5,117.4,216,1044,23,
23,58.6,241.6,118.8,209,1018,23,
24,61.3,253.1,117.3,217,1046,22,
25,64.0,264.6,117.3,217,1046,22,
26,66.6,275.9,116.8,220,1055,23,
27,69.2,287.2,116.8,220,1055,23,
28,72.0,299.2,115.2,229,1087,23,
29,74.7,311.0,115.8,225,1075,22,
30,77.5,322.9,118.7,209,1020,21,
31,80.2,334.2,118.7,209,1020,21,
32,83.0,346.1,118.6,210,1022,23,
33,85.8,357.9,119.5,205,1005,21,
34,88.7,369.8,119.5,205,1005,21,
35,91.5,381.3,121.4,196,973,21,
36,94.2,392.9,117.0,219,1052,22,
37,96.7,403.5,118.5,210,1023,24,
38,99.3,414.7,119.3,206,1009,22,
39,102.1,426.0,121.1,197,978,22,
40,104.7,437.2,121.1,197,978,22,
41,107.6,448.9,121.6,195,969,21,
42,110.2,459.9,121.6,195,969,21,
43,112.9,471.2,120.4,201,990,23,
44,115.8,482.8,122.9,189,948,21,
45,118.6,494.4,121.4,196,973,21,
46,121.4,505.9,121.2,197,976,21,
47,124.2,517.7,121.2,197,976,21,
48,127.1,529.4,122.8,189,950,21,
49,130.0,541.4,122.8,189,950,21,
50,132.9,553.6,119.3,206,1009,21,
51,135.6,565.0,120.2,202,993,22,
52,138.5,576.8,120.2,202,993,22,
53,141.4,588.9,120.7,199,985,21,
54,144.2,600.9,120.7,199,985,21,
55,147.1,613.1,119.6,205,1004,21,
56,149.9,624.9,119.6,205,1004,21,
57,152.8,636.7,122.0,193,963,21,
58,155.6,648.4,122.4,191,956,21,
59,158.4,659.5,122.3,191,958,22,
60,161.1,670.7,122.0,193,963,22,
61,163.8,682.2,119.7,204,1002,22,
62,166.6,694.1,119.4,206,1007,21,
63,169.4,705.6,119.3,206,1009,22,
64,172.3,717.9,119.9,203,998,20,
65,175.1,729.2,121.2,197,976,22,
66,177.8,740.5,123.1,188,945,22,
67,180.5,751.6,121.3,196,974,22,
68,183.3,763.1,121.2,197,976,22,
69,186.0,774.5,121.2,197,976,22,
70,188.7,785.9,119.1,207,1013,22,
71,191.3,796.9,120.0,203,997,23,
72,194.0,808.2,119.2,207,1011,22,
73,196.7,819.5,119.2,207,1011,22,
74,199.3,830.4,120.2,202,993,23,
75,202.0,841.6,119.7,204,1002,22,
76,204.6,852.4,121.8,194,966,23,
77,207.2,863.2,121.8,194,966,23,
78,209.9,874.1,121.6,195,969,23,
79,212.5,885.1,120.2,202,993,23,
80,215.1,896.2,118.9,208,1016,23,
81,217.8,907.3,120.1,202,995,23,
82,220.5,918.4,120.1,202,995,23,
83,223.3,930.0,120.9,198,981,21,
84,226.0,941.5,120.6,200,986,22,
85,228.8,953.2,118.7,209,1020,22,
86,231.5,964.5,118.7,209,1020,22,
87,234.3,976.3,119.6,205,1004,21,
88,236.9,987.4,119.6,205,1004,21,
89,239.8,999.2,120.2,202,993,21,
90,242.6,1011.2,118.2,212,1029,21,
91,245.4,1023.1,117.2,217,1048,21,
92,248.3,1035.3,120.6,200,986,21,
93,251.1,1047.1,120.9,198,981,21,
94,253.8,1058.2,121.6,195,969,22,
95,256.6,1069.6,120.4,201,990,22,
96,259.2,1080.6,120.4,201,990,22,
97,261.9,1091.8,119.8,204,1000,22,
98,264.7,1103.6,119.8,204,1000,22,
99,267.4,1115.1,120.7,199,985,21,
100,270.2,1126.7,118.9,208,1016,22,
101,273.1,1139.2,118.8,209,1018,20,
102,276.0,1151.0,118.8,209,1018,20,
103,278.7,1162.4,120.8,199,983,21,
104,281.5,1174.3,120.0,203,997,21,
105,284.3,1185.7,121.4,196,973,22,
106,287.0,1196.9,121.4,196,973,22,
107,289.7,1207.9,121.7,194,968,22,
108,292.5,1218.9,123.8,184,934,22,
109,294.9,1228.8,122.3,191,958,25,
110,297.3,1239.3,116.3,222,1065,25,
111,300.0,1250.7,119.6,205,1004,22,
112,302.7,1261.4,119.6,205,1004,22,
113,305.4,1272.7,121.0,198,979,22,
114,308.1,1284.1,119.9,203,998,22,
115,310.9,1295.6,119.9,203,998,22,
116,313.6,1307.0,120.3,201,991,22,
117,316.6,1319.3,120.7,199,985,20,
118,319.5,1331.4,120.7,199,985,21,
119,322.5,1344.1,120.3,201,991,20,
120,325.3,1355.6,118.6,210,1022,22,
121,328.0,1367.4,117.3,217,1046,22,
122,330.9,1379.7,117.3,217,1046,22,
123,333.7,1391.3,118.4,211,1025,21,
124,336.4,1402.5,120.4,201,990,22,
125,339.2,1414.0,120.4,201,990,22,
126,342.0,1425.7,121.4,196,973,21,
127,344.9,1437.8,121.4,196,973,21,
128,347.6,1448.9,121.8,194,966,22,
129,350.4,1460.7,121.8,194,966,22,
130,353.3,1472.7,119.4,206,1007,21,
131,356.2,1484.7,119.4,206,1007,21,
132,359.0,1496.7,120.5,200,988,21,
